X_id,id,nombre,titular,cordnds,geopont
16,15,Hospital Pediátrico Tacubaya,"Director: Dr. Carlos Javier Arnaiz Toledo Dirección: Calle Carlos Lazo No.25, Esq. Gaviota, Col. Tacubaya Delegación Miguel Hidalgo C.P. 11870. Teléfono: 55 15 79 20","-99.190842,19.402475,0.000000","19.402475,-99.190842"
17,16,Hospital Materno Infantil Topilejo,"Dirección: Calzada Santa Cruz No. 1, Col.San Miguel Topilejo, Delegación Tlalpan C.P. 14500. Teléfono: 58 48 08 70","-99.140236,19.199308,0.000000","19.199308,-99.140236"
18,17,Hospital General Balbuena,"Director: Dr. Miguel Angel Martínez Guzmán Dirección: Cecilio R?belo y sur No.103, Col. Aeron?utica Militar, Delegación Venustiano Carranza C.P. 15900. Teléfono: 55 52 16 02","-99.115303,19.424906,0.000000","19.424906,-99.115303"
19,18,Hospital Materno Infantil Cuautepec,"Director: Dr. Roberto P?rez AguilarDirección: Emiliano Zapata No 17, Col. Cuautepec Barrio Bajo Delegación Gustavo A. Madero C.P. 07200. Teléfono: 53 06 21 90","-99.140785,19.539803,0.000000","19.539803,-99.140785"
20,19,Hospital Pediátrico Legaria,"Director: Dr. Arturo Rafael Capistrán Guadalajara Dirección: Calzada Legar?a 371, Col. México Nuevo, Delegación Miguel Hidalgo C. P. 11260. Teléfono: 50 82 76 42","-99.202934,19.450733,0.000000","19.450733,-99.202934"
21,20,Hospital General Dr. Enrique Cabrera,"Director: Dra. Arcelia Martínez González Dirección: Av. Centenario, esquina Prolongación 5 de mayo, Col. Exhacienda de Tarango, Delegación ?lvaro Obreg?n Teléfono: 12 85 29 54","-99.224678,19.361961,0.000000","19.361961,-99.224678"
22,21,Hospital de Especialidades Dr. Belisario Dom?nguez,"Director: Dr. Osvaldo González La Riviere Dirección: Av. Tlahuac No. 4866, Esq. Zacatlan, Col. San Lorenzo Tezonco, Delegación Iztapalapa C.P. 09790. Teléfono: 58 50 00 02","-99.065460,19.306768,0.000000","19.306768,-99.06546"
23,22,Hospital General Dr. Gregorio Salas Flores,"Director: Dr. Argemiro José Genes Naar Dirección: Carmen No. 41, Col. Centro Delegación Cuauht?moc C.P 06020. Teléfono: 57 02 03 72","-99.129356,19.437643,0.000000","19.437643,-99.129356"
24,23,Hospital Pediátrico Azcapotzalco,"Director: Dra. Guadalupe Alejandra Santillán Mu?ozDirección: Los Reyes, Azcapotzalco, Ciudad de México, DFTeléfono: 55 61 28 54","-99.185608,19.484491,0.000000","19.484491,-99.185608"
25,24,Hospital Materno Infantil Cuajimalpa,"Director: Dra. Mar?a del Rosario Arrazola Flores Dirección: Av. 16 de Septiembre s/n, Col. Contadero, Delegación Cuajimalpa de Morelos C.P.06500. Teléfono: 58 12 22 11","-99.301117,19.347433,0.000000","19.347433,-99.301117"
26,25,Hospital Materno Infantil Dr. Nicolás M. Cedillo,"Director: Dra. Patricia Flores Galicia Dirección: Gustavo J. S/n, Esq. V?ctor Hern?ndez Covarrubias, Col. Unidad Francisco Villa Delegación Azcapotzalco C.P. 02400. Teléfono: 53 94 05 65","-99.203300,19.498251,0.000000","19.498251,-99.2033"
27,26,Hospital Materno Infantil Tláhuac,"Director: Dr. Raúl Ernesto Guevara Meléndez Machuca Dirección: Av. Tláhuac Chalco No. 231, Col. La Habana, Delegación Tláhuac C.P. 13050. Teléfono: 58 42 36 01 &nbsp;","-98.997925,19.265505,0.000000","19.265505,-98.997925"
