id,tipo,nombre,calle_y_numero,colonia,alcaldia,cp,categoria,subcategoria
48,Agencia de viajes,"Incentivos y Convenciones, S.A. de C.V.",Altavista No. 102,San Ángel,Álvaro Obregón,1000.0,,
49,Agencia de viajes,Decan´s Travel,Gerentes 26 A,San José Aculco,Iztapalapa,9410.0,,
50,Agencia de viajes,Academy Travel,"Jaime Balmes 11 Edif.E,  Mzn.2",Polanco,Miguel Hidalgo,11510.0,,
51,Agencia de viajes,Karnaval Tours Operadora,Quiches No. 88 Local 1,La Raza,Azcapotzalco,2990.0,,
52,Agencia de viajes,Ixtapa Palace Resort,Avenida Chapultepec 318 primer piso,Roma Norte,Cuauhtémoc,6070.0,,
53,Agencia de viajes,Intercruises,José María Rico No. 121 Int. 306,Actipan,Benito Juárez,3230.0,,
54,Agencia de viajes,Espencon,Laura 100,Nativitas,Benito Juárez,3500.0,,
55,Agencia de viajes,Viza Servicios Turísticos,Calle 57 84,Puebla,Venustiano Carranza,15020.0,Minorista,
56,Agencia de viajes,Universal Operadora de Viajes,Betabel 7,Los Ángeles Apanoaya,Iztapalapa,9710.0,,
57,Agencia de viajes,Operadora Linusa,Génova 20 piso 5 despacho 506,Juárez,Cuauhtémoc,6600.0,Mayorista,
58,Agencia de viajes,Viajes Mars Operadora Mayorista,Periférico Sur Unidad Habitacional Dr. Ignacio Chávez,Rinconada Coapa,Tlalpan,14330.0,,
59,Agencia de viajes,Tayira Travel,Arkansas No. 11 Piso 3,Napoles,Benito Juárez,3810.0,,
60,Agencia de viajes,Fale Turismo Empresarial,Avenida Eugenia 829 despacho 302,Del Valle Centro,Benito Juárez,3100.0,Minorista,
61,Agencia de viajes,Navitur Operadora,Versalles No. 16,Juarez,Cuauhtémoc,6600.0,,
62,Agencia de viajes,Asesoría Especializada en Turismo Aetur,Dr. José María Vértiz 948  1,Narvarte Poniente,Benito Juárez,3020.0,Minorista,
63,Agencia de viajes,Shepherd´s Tours,"Paseo de la Reforma 42, 1° piso oficina A",Centro,Cuauhtémoc,6000.0,Minorista,
64,Agencia de viajes,Convivencia Turística,Sur 67 A 104 H,El Prado,Iztapalapa,9480.0,Minorista,
65,Agencia de viajes,Omextur,Avenida Nuevo León 213 interior 501 y 604,Hipódromo Condesa,Cuauhtémoc,6100.0,,
66,Agencia de viajes,Sports International Tours,Avenida Chapultepec 157 despacho 204,Juárez,Cuauhtémoc,6600.0,Minorista,
67,Agencia de viajes,Descuentos en Viajes,Taxqueña 1506 local 9,Campestre Churubusco,Coyoacán,4200.0,Mayorista,
68,Agencia de viajes,Agencia de Viajes Santa Martha,Reforma Laboral Mz.30 Lt.31,Reforma Politica,Iztapalapa,9730.0,,
69,Agencia de viajes,Turismo 5 Continentes,Rancho Piedras Negras 79,Santa Cecilia Coapa,Coyoacán,4930.0,Minorista,
70,Agencia de viajes,Viajes Maresal,Av. Nativitas No. 30-6 Planta Alta,Bosque Residencial,Xochimilco,16010.0,,
71,Agencia de viajes,Traveo,Jaime Balmes No.11 Int. P10 T.B,Los Morales,Miguel Hidalgo,11510.0,,
72,Agencia de viajes,Grupo Crucero,Adolfo Thiers 148,Anzures,Miguel Hidalgo,11590.0,,
73,Agencia de viajes,Viajes Arirang,Londres 224 Int. 101,Juarez,Cuauhtémoc,6600.0,,
74,Agencia de viajes,Azteca Travel Tours Art,Francisco I Madero 150 B-201,San Miguel,Iztacalco,8650.0,,
75,Agencia de viajes,Atayan Travel Agency,Empresa 165 interior 302,Insurgentes Mixcoac,Benito Juárez,3920.0,,
76,Agencia de viajes,El Callejón del Viaje,norte 81a n° 443,Electricistas,Azcapotzalco,2060.0,,
77,Agencia de viajes,Ecotura,"La Noria,  No. 21-1",Paseos del sur,Xochimilco,16010.0,,
78,Agencia de viajes,Operadora Turística Yatre,Av Chapultepec 164,Roma Norte,Tlalpan,6700.0,,
79,Agencia de viajes,Kalawi Tours,Baja California 368 C,Hipodromo,Cuauhtémoc,6100.0,Mayorista,
80,Agencia de viajes,Spiral Promoción Turística,Avenida Insurgentes Sur 105 piso 14,Juárez,Cuauhtémoc,6600.0,,
81,Agencia de viajes,Aventuras Nacionales,"Avenida Presidentes N. 34, Casa 1, 2o. Piso",Portales Oriente,Benito Juárez,3570.0,,
82,Agencia de viajes,ToursCancún,Fresnos No. 52,El reloj,Coyoacán,4640.0,,
83,Agencia de viajes,Excel Tours Tonalá,Tonalá No. 209-6,Roma Sur,Cuauhtémoc,6760.0,Minorista,
84,Agencia de viajes,Nomad Republic,Tabasco No. 242,Roma Norte,Cuauhtémoc,6700.0,,
85,Agencia de viajes,FAM Servicios Turísticos,Zacatecas No. 206-301,Roma Norte,Cuauhtémoc,6700.0,,
86,Agencia de viajes,"""Comercializadora Oneway""",Rio Nazas No.20,Cuauhtémoc,Cuauhtémoc,6500.0,,
87,Agencia de viajes,Pasaporte a la Aventura,Mar Tirreno No. 9-2,Popotla,Miguel Hidalgo,11400.0,Minorista,
88,Agencia de viajes,Master Tours Operador Mayorista S.A. de C.V.,Durango No. 195 Piso 7,Roma Norte,Cuauhtémoc,6700.0,,
89,Agencia de viajes,"ABC International División México, S.A. de C.V.",Rio Balsas No. 40,Cuauhtémoc,Cuauhtémoc,6500.0,,
90,Agencia de viajes,Turismo Le-Monde,"Montecito No.38, Piso 22",Nápoles,Benito Juárez,3810.0,Minorista,
91,Agencia de viajes,Travelis Life,Guanabana   No. 242,Nueva Santa María,Azcapotzalco,2800.0,,
92,Agencia de viajes,Maravillas de México,Eligio Ancona No. 52 Local C,Santa María la Ribera,Cuauhtémoc,6400.0,Minorista,
93,Agencia de viajes,Tyst Clavería,Heliópolis 196-A,Clavería,Azcapotzalco,2080.0,Minorista,
94,Agencia de viajes,Tyst Chapultepec,José Vasconcelos No. 235,San Miguel Chapultepec,Miguel Hidalgo,11850.0,Minorista,
95,Agencia de viajes,Aspire Lifestyles,"Jaime Balmes No. 11 Torre B, Piso 4",Los Morales,Miguel Hidalgo,11510.0,Minorista,
96,Agencia de viajes,Signature Golf México,Maimónides No.530,Polanco,Miguel Hidalgo,11560.0,,
97,Agencia de viajes,Travel Design,Privada Tamarindos No. 7-505,Bosque de las lomas,Cuajimalpa de Morelos,5120.0,Minorista,
98,Agencia de viajes,Soluciones Empresariales en Turismo,"Pedro Santacilia,  No.294",Villa de Cortes,Benito Juárez,3530.0,Minorista,
99,Agencia de viajes,Mexticket,Mario Pani No. 150 Piso 1,Lomas de Santa Fe,Cuajimalpa de Morelos,5300.0,,
100,Agencia de viajes,Travels and Tours,Real de San Martín No.498,San Martin Xochinahuac,Azcapotzalco,2120.0,Minorista,
101,Agencia de viajes,OTA Mundomex,Av. Ejército Nacional No. 579,Granada,Miguel Hidalgo,11520.0,Minorista,
102,Agencia de viajes,Braya,"Lafontaine,  No.116",Polanco,Miguel Hidalgo,11550.0,,
103,Agencia de viajes,Viajes El Corte Inglés,"Jaime Balmes No. 11, Torre A 1-A",Los Morales,Miguel Hidalgo,11510.0,,
104,Agencia de viajes,SSE Mundomex,"Av. Ejército Nacional,  No.579",Granada,Miguel Hidalgo,11520.0,Minorista,
105,Agencia de viajes,On Vacation Hoteles,"Montecito No.38, Piso 14, Oficinas 34 y 35.",Napoles,Benito Juárez,3810.0,,
106,Agencia de viajes,Kin Travel,"Montecito No. 38, piso 28 oficina 12 y 13",Napoles,Benito Juárez,3810.0,,
107,Agencia de viajes,EDVP Mundomex,Av. Ejercito Nacional No.579,Granada,Miguel Hidalgo,11520.0,,
108,Agencia de viajes,Eventos Especiales,Ciceron 737 No.Mezzi1,Chapultepec Morales,Miguel Hidalgo,11570.0,,
109,Agencia de viajes,Horus Royal Elite Club,"Paseo de la Reforma, No. 243",Cuauhtémoc,Cuauhtémoc,6500.0,,
110,Agencia de viajes,Viajes Travangel,Norte 81A #442,Sindicato Mexicano de Electricista,Azcapotzalco,2060.0,,
111,Agencia de viajes,Viajes El Corte Inglés,Avenida Canal de Tezontle No. 1512,Dr. Alfonso Ortiz,Iztapalapa,9040.0,,
112,Agencia de viajes,Colectivo Business and Travel,Cerrada Rosa Zaragoza No. 28,Culhuacan,Coyoacán,4489.0,,
113,Agencia de viajes,Mexique Découverte,Salina Cruz 45,Roma Sur,Cuauhtémoc,6760.0,,
114,Agencia de viajes,Viajes Mundo Paraíso,Calzada Ermita  Iztapalapa Mz.1 Lt.17,Santiago Acahualtepec,Iztapalapa,9608.0,,
115,Agencia de viajes,Ost Nueva Santa María,Nueces #  167,Nueva Santa Mria,Azcapotzalco,2800.0,,
116,Agencia de viajes,Mautravel,Av. Baja California No.278-702,Hipodromo Condesa,Cuauhtémoc,6100.0,,
117,Agencia de viajes,Fanáticos del Viaje,Misterios 599-A,Industrial,Gustavo A. Madero,7800.0,Minorista,
118,Agencia de viajes,Catur,Río Tiber 91 302,Cuauhtémoc,Cuauhtémoc,6500.0,,
119,Agencia de viajes,Turismo de Negocios Santa Fé,Av. Copilco No. 164 Loc.21,Oxtopulco,Coyoacán,4318.0,,
120,Agencia de viajes,Operadora Mayorista Santa Fé,Av. Copilco No. 164 Loc. 22-A,Oxtopulco,Coyoacán,4318.0,,
121,Agencia de viajes,Innovatur,Av.Baja California No.252,Hipodromo Condesa,Cuauhtémoc,6170.0,,
122,Agencia de viajes,Travel & Business,Ingenieros No. 33,Escandón,Miguel Hidalgo,11800.0,Minorista,
123,Agencia de viajes,Tour Tatich,Golfo de Viscaya # 8,Tacuba,Miguel Hidalgo,11410.0,,
124,Agencia de viajes,Travel Essence,Paseo de la Reforma 42 Piso 1 Oficina A,Centro,Cuauhtémoc,6010.0,,
125,Agencia de viajes,High Travel,Prol. Hidalgo No.259 -29,Manzanastitla,Cuajimalpa de Morelos,5270.0,,
126,Agencia de viajes,Sparcia Travel,Tepalcatitla No.47,Barrio la Concepción,Coyoacán,4020.0,,
127,Agencia de viajes,Agencia de Viajes Mundo Polotours,"Gitana No.77, Edif. E1-Depto 102",Los Olivos,Tláhuac,13210.0,,
128,Agencia de viajes,ITG,Shakespeare 154 PB,Anzures,Miguel Hidalgo,11590.0,,
129,Agencia de viajes,Turismo Sibarita,"Oriente 176, No. 201",Moctezuma,Venustiano Carranza,15530.0,,
130,Agencia de viajes,Dis Travel Zafiro Tours,Quetzal No.36,Las Aguilas,Álvaro Obregón,1710.0,,
131,Agencia de viajes,México Tour Freelance,Oriente 146 No.141,Moctezuma,Venustiano Carranza,15530.0,,
132,Agencia de viajes,Onlineunlimitedvacation,Insurgentes Sur No. 586,Del Valle,Benito Juárez,3100.0,,
133,Agencia de viajes,Masai Travel,San Antonio 120 Int 202,Napoles,Benito Juárez,3810.0,,
134,Agencia de viajes,Mundo Travel,"Av. Tezontle 57-A, 2 Piso",Los Paseos de Churubusco,Iztapalapa,9040.0,,
135,Agencia de viajes,Travel Madness,Palacio de Versalles No.235 Anexo,Lomas de Chapultepec,Miguel Hidalgo,11000.0,,
136,Agencia de viajes,YI-FI Tu Zona de Viajes,Francisco del Paso y Troncoso 286 A Depto 16,Jardin Balbuena,Venustiano Carranza,15900.0,,
137,Agencia de viajes,CTS,Jaime Balmes No.11 Int. Piso 10 PH TB,Los Morales Polanco,Miguel Hidalgo,11510.0,,
138,Agencia de viajes,Zuritour Operadora de Viajes,"Palma, No.20, Interior 21",Centro,Cuauhtémoc,6000.0,,
139,Agencia de viajes,Operadora Issavi,"Ibsen, No.40-101",Polanco,Miguel Hidalgo,11560.0,,
140,Agencia de viajes,Viajes Ermita,Av. Ermita Iztapalapa No. 3417 A-18,Xalpa,Iztapalapa,9640.0,,
141,Agencia de viajes,Travelisy,Montecito 38 Piso 32 Oficina 37,Napoles,Benito Juárez,3810.0,,
142,Agencia de viajes,Serratours,Bajío 369 Int. 402,Hipodromo Condesa,Cuauhtémoc,6140.0,,
143,Agencia de viajes,About Tourism and Trade,"Playa Salagua, No.586B",Reforma Iztaccihuatl,Iztacalco,8840.0,,
144,Agencia de viajes,Joss Travel México,Frontera No.167 Desp.205,Roma,Cuauhtémoc,6700.0,,
145,Agencia de viajes,Alico Tours,Manzanas No.46 Piso. 4,Tlacoquemecatl del Valle,Benito Juárez,3200.0,,
146,Agencia de viajes,MX Travel,Brigada Alvarez Mz.9 Lote.20,Ejercito de Oriente,Iztapalapa,9230.0,,
147,Agencia de viajes,Kaytrip de México,"Hegel, No.153, Despacho 102",Polanco,Miguel Hidalgo,11560.0,,
148,Agencia de viajes,ART Connet,"Tarango, No. 56-1",Ampliación las Aguilas,Álvaro Obregón,1759.0,,
149,Agencia de viajes,Excel Tours Distrito Central,Av Sonora 113 5to piso interior 501,Roma Norte,Cuauhtémoc,6700.0,,
150,Agencia de viajes,Agencia de Viajes Raftravel,Melchor Ocampo No. 104 Int. 8,San Rafael,Cuauhtémoc,6470.0,,
151,Agencia de viajes,Viajes 80 días Cuauhtémoc,"Melchor Ocampo, No.454, Local.1-B",Cuauhtémoc,Cuauhtémoc,6500.0,,
152,Agencia de viajes,Agencia de Viajes Noguez,José Urbano Fonseca 356,Capultitlan,Gustavo A. Madero,7370.0,Minorista,
153,Agencia de viajes,Viajes Ki Xíimbal,"Andador 21 de Cafetales, No.17-A",Ctm Culhuacán,Coyoacán,4939.0,,
154,Agencia de viajes,Viajes Romano,"Fco. Gonzalez Bocanegra, No.77-12",Morelos,Cuauhtémoc,6200.0,,
155,Agencia de viajes,Viñales Tours,"Avenida Oaxaca, No.95",Roma Norte,Cuauhtémoc,6700.0,,
156,Agencia de viajes,Mexico Experts Travel,"Av.De Las Fuentes, 170",Jardines del Pedregal,Álvaro Obregón,1900.0,,
157,Agencia de viajes,One2Travel Group,Avenida Contreras 700 Int 204,San Jeronimo Lidice,La Magdalena Contreras,10400.0,,
158,Agencia de viajes,Travelexp,"Insurgentes No. 3656, Despacho 206",Peña Pobre,Tlalpan,14060.0,,
159,Agencia de viajes,Tío Mike Viajes,Rep. del Salvador No. 142,Centro,Cuauhtémoc,6060.0,,
160,Agencia de viajes,Viajes Arboledas,Xochicalco No. 464,Vertiz Narvarte,Benito Juárez,3600.0,,
161,Agencia de viajes,Sunset Bay,"Tlacotalpan, No.37",Roma Sur,Cuauhtémoc,6760.0,,
162,Agencia de viajes,Travel and Business,INGENIEROS No. 33,ESCANDON,Miguel Hidalgo,11800.0,Minorista,
163,Agencia de viajes,Viajes Palacio Lindavista,Río Bamba 589,Magdalena de las Salinas,Gustavo A. Madero,7760.0,,
164,Agencia de viajes,Viajes Palacio Casa Palacio Santa Fe,Av. Vasco de Quiroga No. 3850,Antigua Mina La Totolapa,Cuajimalpa de Morelos,5109.0,,
165,Agencia de viajes,Viajes Palacio Booth Centro Coyoacán,Av. Coyoacán No. 200,Xoco,Coyoacán,3330.0,,
166,Agencia de viajes,Viajes Palacio Booth Perisur,Periférico Sur No. 4690,Jardines del Pedregal,Álvaro Obregón,4500.0,,
167,Agencia de viajes,Viajes Palacio Travel Line México CDMX,Durango No. 230,Roma,Cuauhtémoc,6700.0,,
168,Agencia de viajes,Viagi.com,"Rio Nilo, No.88",Cuauhtémoc,Cuauhtémoc,6500.0,,
169,Agencia de viajes,China Travel México,"Empresa, No.146",Extremadura Insurgentes,Benito Juárez,3740.0,,
170,Agencia de viajes,Vieyra Viajes,Imprenta No. 408,Emilio Carranza,Venustiano Carranza,15230.0,,
171,Agencia de viajes,Viajes Tadeo,Priv Luz Suarez  Mz 48 Lt 8b,Agricola Pantitlan,Iztacalco,8100.0,,
172,Agencia de viajes,Copilco Universidad,"Av. Universidad, No.1887",Oxtopulco,Coyoacán,4318.0,,
173,Agencia de viajes,Viajes Intermex,Av. Anillo Periferico Sur No. 4690 Local 195,Jardines del Pedregal de San Angel,Coyoacán,4500.0,,
174,Agencia de viajes,Viajes Bertasio,"Tamaulipas, No.155",Hipódromo Condesa,Cuauhtémoc,6170.0,,
175,Agencia de viajes,Planeación e Integración Turística,Prado Norte 531,Nativitas,Miguel Hidalgo,11000.0,,
176,Agencia de viajes,Viajes Palacio Booth Patio Universidad,Av. Popocatépetl No. 546,Xoco,Benito Juárez,3330.0,,
177,Agencia de viajes,Xico Travel,Periférico Sur #7680 8-201,Granjas Coapa,Tlalpan,14330.0,,
178,Agencia de viajes,Viaje a Las Estrellas-CTS,"Jaime Balmes No. 11, Local 114,115,116",Los Morales Polanco,Miguel Hidalgo,11510.0,,
179,Agencia de viajes,Premia Travel,Justo Sierra 11,Zona Escolar,Gustavo A. Madero,7230.0,Minorista,
180,Agencia de viajes,Edka Viajes y Eventos,Toltecas 119 A,Lomas de Chapultepec,Iztapalapa,9000.0,,
181,Agencia de viajes,Gudel Servicios De Viaje,Guillermo Prieto 36 Local C,San Rafael,Cuauhtémoc,6470.0,,
182,Agencia de viajes,OPG Grupos y Convenciones,Guillermo Prieto 36 Local C,San Rafael,Cuauhtémoc,6470.0,,
183,Agencia de viajes,"Top Ten Travel, S.A. de C.V.","Maricopa No.10, Int. 201 A",Napoles,Benito Juárez,3810.0,,
184,Agencia de viajes,Tours Delafe,Durango No. 324,Roma Norte,Cuauhtémoc,6700.0,,
185,Agencia de viajes,Hidal - Mex,Andalucía No. 10,Álamos,Benito Juárez,3400.0,,
186,Agencia de viajes,Roma Agencia De Viajes,Avenida Del Taller 472 Local 6,Jardín Balbuena,Cuauhtémoc,15900.0,,
187,Agencia de viajes,TYST Del Valle,"Av. Cuauhtémoc, No. 1281",Santa Cruz Atoyac,Benito Juárez,3310.0,,
188,Agencia de viajes,RTH Servicios de Viaje,Camino Viejo A San Pedro Martir No. 31,La Joya,Tlalpan,14090.0,,
189,Agencia de viajes,"Operadora De Viajes Vsg, S.A. De C.V.",Felix Berenguer 126,Lomas Virreyes,Miguel Hidalgo,11000.0,,
190,Agencia de viajes,Felgueres,"Lafontaine No. 92, Piso 1",Polanco Chapultepec,Miguel Hidalgo,11560.0,,
191,Agencia de viajes,MH Internacional,Magdalena No. 507,Del Valle,Benito Juárez,3100.0,,
192,Agencia de viajes,Clasa Tour Operadora México,Avenida Yucatan No. 20 - 502,Roma Norte,Cuauhtémoc,6700.0,,
193,Agencia de viajes,"Boni Viajes, S.A. de C.V.","Avenida Felix Cuevas, No.329-B, Local12",Del Valle,Benito Juárez,3100.0,,
194,Agencia de viajes,Viafel,Durango No. 269,Roma Norte,Cuauhtémoc,6700.0,,
195,Agencia de viajes,Redes Turísticas,Estado De Zacatecas 47,Providencia,Gustavo A. Madero,7550.0,,
196,Agencia de viajes,Aventour,Avenida Sierravista 219-3,Lindavista,Gustavo A. Madero,7300.0,,
197,Agencia de viajes,Viajes Bojorquez Lindavista,Avenida Montevideo 189-2,Lindavista,Gustavo A. Madero,7300.0,Minorista,
198,Agencia de viajes,Viaceco Travel,Arteaga Y Salazar No. 1584,El Contadero,Cuajimalpa de Morelos,5500.0,,
199,Agencia de viajes,Viajes Belinda,Av. Morelos No.621,Magdalena Mixhuca,Venustiano Carranza,15850.0,,
200,Agencia de viajes,Ocean Terra Operadora Mayorista,Luz Saviñon No.310,Del Valle,Benito Juárez,3100.0,,
201,Agencia de viajes,Travel Impressions,Presidente Masaryk 111 Piso 7,Chapultepec Morales,Miguel Hidalgo,11560.0,,
202,Agencia de viajes,Viajes Samagu,Toluca 13,Santa Teresa,La Magdalena Contreras,10710.0,,
203,Agencia de viajes,Aeroreservaciones.com,Herodoto No.52,Anzures,Miguel Hidalgo,11590.0,,
204,Agencia de viajes,Agencia De Viajes Travelmx,Eje Central Lazaro Cardenas 415,Portales Norte,Benito Juárez,3303.0,,
205,Agencia de viajes,LTSGO,Berlin 105,Del Carmen,Coyoacán,4100.0,,
206,Agencia de viajes,Clickonero.com,Horacio No. 340,Polanco,Miguel Hidalgo,11560.0,,
207,Agencia de viajes,viajesdemexico.com,Angeles 77 B,Granjas Navidad,Cuajimalpa de Morelos,5219.0,,
208,Agencia de viajes,"Argo Viajes, S.A. de C.V.",Av. División Del Norte No. 2943,El Rosedal,Coyoacán,4330.0,,
209,Agencia de viajes,Infinity Dreams,Río Po No.22,Cuauhtémoc,Cuauhtémoc,6500.0,,
210,Agencia de viajes,Agencia de Viajes Compass Travel,Rafael Martinez Rip Rip No. 87,Independencia,Benito Juárez,3630.0,,
211,Agencia de viajes,"EVC Viajes, S.A. de C.V.",Av. Rio Mixcoac No.69,Credito Constructor,Benito Juárez,3940.0,,
212,Agencia de viajes,Viajes Berlin,Luz Saviñon No.1007 Piso2,Del Valle,Benito Juárez,3100.0,,
213,Agencia de viajes,FJ Travel Solutions,Calle Ramón Zapena Mz. 49 Lt. 5,Zona Escolar,Gustavo A. Madero,7230.0,Minorista,
214,Agencia de viajes,Mextravel & MexHotel,"Calle Mario Pani, No.400",Lomas De Santa Fe,Cuajimalpa de Morelos,5300.0,,
215,Agencia de viajes,Happy Trip,Avenida 604 203,San Juan De Aragón,Gustavo A. Madero,7979.0,Minorista,
216,Agencia de viajes,Opertravel México,"Av. 5 De Mayo, No.3050",Lomas De Tarango,Álvaro Obregón,1620.0,,
217,Agencia de viajes,Garza Viajes Operadora Turistico S.A de C.V.,"Guillermo Prieto, No.45",San Rafael,Cuauhtémoc,6470.0,,
218,Agencia de viajes,Grupo Navitur,Versalles No.16,Juárez,Cuauhtémoc,6600.0,,
219,Agencia de viajes,Convenciones & Meeting Planner Buva,"Avenida Mario Pani, No.400",Santa Fe Cuajimalpa,Cuajimalpa de Morelos,5348.0,,
220,Agencia de viajes,Experiencias AV,Republica De Uruguay No.94,Centro,Cuauhtémoc,6060.0,,
221,Agencia de viajes,ARFA Travel,Gobernador Manuel Reyes Veramendi No.61,San Jerónimo Lidice,Miguel Hidalgo,11850.0,,
222,Agencia de viajes,Milen Tour & Travel S.A de C.V.,Tlaxcala No.165-106,Hipodromo Condesa,Cuauhtémoc,6100.0,,
